id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT048-001,李敖秘藏日记,提取轮,待校对,写作,软禁伤痕,在软禁的头两个月，我有完整的日记，副本在抄家时侥幸没被抄走，现在我决定发表出来，算做“伤痕文学”。唐朝诗人“长安居，大不易”，看了我这日记，不有“台北居，大不易”之感者，非人也！,001.软禁残记.txt,3,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"软禁,日记,写作"
LAT048-002,李敖秘藏日记,提取轮,待校对,政治,监视编制,九、下午情报：彭一走，警总派管区警察先看我是否在家（24日上午）后，即由特勤队到我家盯三四天，后以责任太紧，决定皮球踢给市警察局，市警察局再踢给大安分局，于是由市警察局、大安分局与我的管区派出所组成专案联合小组，除由警总、市警局、分局、派出所各单位主管分层督察外，小组设组长一人，组员八人（内中一名为管区警察，改派为特勤〔特别勤务〕，免除其他业务，专门参加监视工作）。待遇除正规薪水外，组员每人每日加发二十四元，一月加发七百二十元，内定此项监视，至少三个月，八人每月开支五千七百六十元。其他跟踪车费等另报，组长以上薪水不详。同样被监视者，除我以外，有通化街的谢聪敏，与和平东路的□（按后查出即彭太太），每月总开支预算是五万元。监视方法是二人一组，四小时一换班，二十四小时不断，做情况记录。先是派出所主管以李、谢二人都在管区内，为恐祸延，坚主管区警察逼李、谢搬家。我的管区警察表示没办法。（“房子是李敖自己的！怎么逼他不许住自己的房子？”）后分局局长与管区警察面谈，管区警察表示三点：一、李敖房子已抵押，经济情况不好，没钱逃（此点已被分局局长认为李敖可受外面接济）。二、李敖是最聪明的人，他要跑，会跑在（彭）前头，不会跑在后头。三、又因为李敖最聪明，所以他目前不走，政府抓他师出无名，他若一走被捕，对他反倒不利（此二点分局长同意）。,001.软禁残记.txt,42,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"监视,警总,政治"
LAT048-003,李敖秘藏日记,提取轮,待校对,方法,不斗走狗,一、早上管区警察来，说昨天谢聪敏被跟踪到亚洲百货公司，忽然当众说明身份，并指着跟踪他的两人，大骂是“国民党的走狗”！跟踪他的人昨晚已反映到上面去，台北市警察局安全室卢主任（金波）说：“让他去骂，你们忍耐几天，他们没几天好日子了！”我听了这事，决定约聪敏聊聊。管区警察一齐到六小姐家午饭，再同访廷朝，在看守中，把廷朝约上我车，廷朝笑向看守招手，并说：“大兴戏院！”车和警察都丢在我家，我同廷朝到大兴戏院访谢，不在，碰到房东，房东听说是“那个被红计程车看着的人”来了，笑着跟我招呼。与廷朝出来，电约聪敏，再转赴他办公处，同去波丽露吃冰。我劝聪敏不可跟走狗惹气：“人家派走狗来咬你，你居然蹲下来，向走狗吼声不绝，却何苦来？”“如果你想坐牢，可到介寿馆门口喊口号，包你立刻生效；如暂时不想坐牢，大可不必给他们口实。他们现在以老彭刚走，正苦没有口实泄愤，你这样公共场所演说，正好中他们之计。因为他们的目的之一是在困扰你，而你不以幽默处之，正好被他们所困扰。”“有大用的人，不可不‘爱其死有以待’‘养其身有以为’。……”“我们都不是怕坐牢的人，但总得找个好一点的名目坐牢。由于激动情绪或增加误会而坐牢，太不值得。”经我和廷朝劝慰，聪敏变得平静快乐起来，于是一起逛街。跟踪者在后藏藏躲躲，最后管区警察跑上来（他是三点半接班的），说：“算了，算了，我们一起走吧！”于是三要犯，二警察同行，我说：“今天是要犯跟踪警察。”大家大笑。又开了一阵玩笑，听警察诉了一阵苦，最后管区警察说：“你们去玩吧，晚上在李先生家见。”我说：“这两人，今天包在我身上，可是我跑了，却不负责。”于是分手。我们三人，同勘保安处旧址，互忆被囚痕迹。又逛书摊，下小馆，互骂KMT不绝。晚饭后同来我家喝茶、下棋，不久管区警察来电，我笑说：“派各路的人来吧，接他们回去。……”10点后，二人走，时楼下已足够开个警察局了，两个人跟一个，相偕离去，而看我的，却静候不已。,001.软禁残记.txt,133,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"监视,应对,方法"
LAT048-004,李敖秘藏日记,提取轮,待校对,法权,非法待遇,一、今晚老郭来便饭。他被调查局关了一夜，查彭事。出来具结绝口不敢提，只说“他们赖我”云云。我笑说：“你们这些迷信法律的人，这回碰到这种非法待遇，一点也没法子了吧？”他苦笑。,001.软禁残记.txt,231,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"调查局,法律,法权"
LAT048-005,李敖秘藏日记,提取轮,待校对,方法,大目标研究,二、专注于世界性大目标的研究。瞩目于新世界、大世界，而不斤斤于一个江河日下的政权、一个老人政治、一个小岛。,001.软禁残记.txt,253,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"世界性,研究,方法"
LAT048-006,李敖秘藏日记,提取轮,待校对,法权,政治问题,一、是政治问题而非法律问题——“彭案”一直是政治问题，处理彭案自以政治解决为上策，拘泥于法律问题，既不能欺人，也难以自欺，以政治问题肥己而以法律问题绳人，何以昭服于天下？就政治问题着眼，允许我和子女出境，自不发生法律问题。,001.软禁残记.txt,267,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"彭案,法律,法权"
LAT048-007,李敖秘藏日记,提取轮,待校对,文化,不胁人亲,三、是度量问题而非人质问题——自古举大事者，不顾其亲；有大度者，亦不胁人之亲以为质，楚霸王之于刘邦父亲、宋太宗之于李继迁母亲，都为显例。先生等以复兴中华文化自许，于此类度量之复兴，自不让古人专美。何况古人还有流刑之设，宁逐于异邦，无“不准出境”，深愿中国文化之复兴，起于流刑，而自彭明敏妻孥始！,001.软禁残记.txt,269,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"度量,人质,文化"
LAT048-008,李敖秘藏日记,提取轮,待校对,政治,市义买心,综上三点说明，深盼先生考虑后，惠为转达各位执事明公：放彭明敏妻孥出境，对国民党实无害可言，至少利多于害。一个战国时代的食客，都会为主人“市义”，何况是一群新时代的执政者？怎可不学学古人，去“买买人心”？去向联合国大会显示一下国民党掌握的是一个多么自由的中国？现在，机会在此，是怨怨相报，还是解铃系铃，全在先生选择。先生也许在事实上做不了主，但在内阁制的宪政体制下，这封信，若不写给先生，又该写给谁？我想，若写这么一封信，而收件人竟不是先生，那该是对先生的最大侮辱了！祝,001.软禁残记.txt,270,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/001.软禁残记.txt,"出境,自由,政治"
LAT048-009,李敖秘藏日记,提取轮,待校对,写作,年表取舍,《李敖五十年表》1978年条下：“四十三岁。做土木包工。吴俊才自萨尔瓦多返台，亲到我家，同意我辞职，但邀我去《中央日报》任主笔，再准备接任总主笔，我笑着说：‘我不会给国民党做打手的，谢谢老师啦！’”1978年全年的事，在《李敖五十年表》中，只这么几个字。年表就是年表，不能涵盖所有的事。但在知识程度在联考以下和国民党特务眼中，这种人总会以为你在隐瞒什么。我读《太炎先生自定年谱》，颇憙其把年谱当年表来写，一年之中，只举一二大事，不及其他琐碎。我的年表也略近之。今早检出1987年的卷，发现我在金兰大厦第一年，零星写了不少琐碎，读来也颇有趣，有深意，决定不妨发表也。,002.金兰琐碎.txt,3,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/002.金兰琐碎.txt,"年表,日记,写作"
LAT048-010,李敖秘藏日记,提取轮,待校对,人格,智者不忧,我至少先做到智者不忧，我要一个人孤独的自得其乐，并且不停的窃笑（心懈时，写点日记即好，以起劲书接力，亦可）。,002.金兰琐碎.txt,13,《大李敖全集6.0》分章节/006.沉思日记类/006.李敖秘藏日记/002.金兰琐碎.txt,"孤独,自得,人格"
