id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords,proofread_from
LAT032-001,上山·上山·爱,校对轮,已校对,知识,自由休学也能自成知识,作家大学生还告诉我，这位妹妹，本是北一女中的学生，但她不喜欢斲丧性灵的学校教育，所以念完高二就不念了。当时全家反对她，但她不听，终于自动休了学。她跑到南部乡下亲戚家里，在竹林和风声里独自住了几天。她自由自在的活着，她有勇气这样做。她飘来飘去，但绝非不良少年，相反的，她程度好得很，她的知识很渊博，这和她的聪明与用功有关，她有两书架的藏书，书架上从《拓扑学》到拓本，从《板桥杂记》到版画，从《失乐园》（Paradise Lost）到《儿童的诗园》（Child's Gardon of Verse），几乎一应俱全。“当然，”作家大学生特别补了一句。“你阁下写的书，也包括在内。”至于写作情形，不知道，只知道她常常写东西，但写什么，发表不发表，都不知道。总之，她很神秘，她不太喜欢交朋友。,002.第一部——三十年前.txt,25,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"休学,自由,知识,教育",LAT032-001
LAT032-002,上山·上山·爱,校对轮,已校对,情爱,艺术的爱与爱的艺术,“There are but two boons in life：the love of art and the art of love．”人生有二幸：艺术的爱与爱的艺术。我想，艺术的爱和爱的艺术，就是全部答案了。一个优秀女人一生中，所追求的艺术应该不外这两种。,002.第一部——三十年前.txt,54,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"艺术,爱,女人,情爱",LAT032-002
LAT032-003,上山·上山·爱,校对轮,已校对,政治,书名也会犯政治天条,“蓝色魔鬼岛”被查禁是意料中事，这是我被查禁的第十三本书，其实不看内容，光看书名就犯了天条。独夫蒋介石被共产党赶到台湾“岛”上，从他的特务机关蓝衣社到他的国民党党旗全是“蓝色”的，祸国殃民的他和他的党羽又与“魔鬼”无异，组合起来不正是“蓝色魔鬼岛”的书名吗？,002.第一部——三十年前.txt,69,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"蓝色魔鬼岛,查禁,蒋介石,政治",LAT032-003
LAT032-004,上山·上山·爱,校对轮,已校对,人格,异端主轴只能独自走下去,1949年，独夫蒋介石被共产党赶到台湾的时候，有两三百万大陆人，跟他或被迫跟他同来这个岛上，我的父母身在其中，当时我十四岁，没有选择权，也一起来了。对一个从十四岁成长的少年，那真是漫漫长夜，从初中到高中，从大学到军队，到处都是蓝色统治下的白色恐怖，令人窒息。人们都走了屈从的、逃避的、同流合污的顺民之路，我却不甘如此。我把人生设定了一个主轴，那个主轴就是我要做一个伟大的知识分子，博学多闻、特立独行，并且要经世致用，有利国家和人民。我从在北京念小学时候，就受了左派书刊的鼓舞，加深了这一怀抱。但我因为好学深思，思想上并不像左派那样褊狭。十四岁到台湾，我脱离了大陆的狂飙，却坐困在海岛的高压，从中学而大学，我一直在这一主轴上锻炼我自己、期勉我自己。我遭遇了许多困难的经验，其中最大的，是我缺乏真正使我五体投地的师承与榜样；而在同辈中，我又因自己过分超群而变得难以向朋友学到什么；而与我同行的女朋友们，也都“中道崩殂”、劳燕分飞；再加上早年的穷困，使我在这一主轴上，做得非常孤独而吃力。直到我历经军队、办刊物等鲜明的转捩点以后，我才慢慢更能熟练的做一个异端、孤独的异端。我深知自处之道，并且知道为这一主轴所必须付的代价。没有白发前辈、没有黑头朋友、没有红颜知己，我都不以为异，在这一主轴上，我清楚知道只有靠自己，也只有自己一个人走下去。我走下去的方式其实只有一种，就是以言论冲决网罗。我开始写文章、写书，前后四年，直到官方封了我的杂志、禁了我的著作为止。可是，官方动手究竟太迟了，当他们判定我必须出局的时候，我已经盗了无数次垒了——对这个岛，我已经为思想上的灌输工作打下基础。当《纽约时报》（The New York Times）登出我是这个岛的firebrand的时候，官方除了报复，已经没有任何法子了。,002.第一部——三十年前.txt,70,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"知识分子,异端,孤独,人格",LAT032-004
LAT032-005,上山·上山·爱,校对轮,已校对,法权,媒体法院受控时异己无路,这个政府控制了三十一家报纸，也就是全部的报纸，它不准异己办报。它所控制的报纸，可以毫无忌惮的造谣生事，诽谤官方所要斗臭或打击的人。想告它诽谤吗？绝对没有成功的希望，因为法院又是官方控制的。我就告过两家，可是法院连传都不传他们，就判他们无罪。所以，同他们在新闻上和法律上缠斗，异己绝无希望，除了呕气以外，一无所得。当德国的阿登纳（Adenauer），在纳粹势力如日中天的时候、在全国人都向纳粹低眉俯首的时候，他曾表现了“虽千万人，吾往矣”的气概，但换得的，却是被极权政府整得灰头土脸——法庭上诬陷他诈欺背信、监狱中折磨他夜不安枕、名誉被破坏、财产被没收、自由无缘、家庭破碎。他当时在新闻上和法律上若与纳粹缠斗，绝无希望，他只有在监狱中等待、在修道院的玫瑰花丛中等待，等待有朝一日，海晏河清。他六十八岁时候，集中营主管对他说：“好啦，请你不要自杀，只有你老是给我惹麻烦。您老六十八岁了，总之，也活不了太久了。”可笑这集中营主管狗眼看人低，他没想到这老囚犯活了下来，并且在一党独大垮台后，以清白之身，出任西德总理，一做十四年，从七十三岁做到八十七岁，成了有史以来，最难能可贵的也最坚苦卓绝的一个伟大身教。一般人只看到他七十三岁到八十七岁的十四年“走老运”，却忽略了他五十七岁到七十二岁的十五年困顿生涯。这十五年的困顿中，他大部分的时间，都坐看自己的敌人张牙舞爪、坐看自己的生命垂垂老去，但是他甘愿牺牲一切，他就是不要同他看不起的政权合作。这种清白记录，使他在灰头土脸时候，干不成地方首长；却使他在扬眉吐气时候，干上了国家总理！当然阿登纳不是我，我也不是阿登纳，但是独自一人，挺身与暴政相抗，不对一党独大低头的大丈夫作风，则是一样的。我的家中有一个小镜框，中有阿登纳人像，我喜欢看到他，他给我一种鼓舞与信念。不过，按照阿登纳的标准，我太年轻了，我还有监狱一关要面对。监狱的阴影，对我说来，是愈来愈浓了。,002.第一部——三十年前.txt,71,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"报纸,法院,诽谤,法权",LAT032-005
LAT032-006,上山·上山·爱,校对轮,已校对,人格,牢狱不能关住观念,我来自白山黑水的祖国，到了玉山浊水的岛上，虽然岛是祖国的一部分、我是祖国的一部分，但因政治的缘故，我只能局限在千分之三的中国领土上做战士，虽然在比例上，我的努力会因岛的狭小而使自己“与之偕小”，限制了躯壳，但努力的精神和成果并不受它限制，也限制不了，就像《湖滨散记》（Walden）的作者梭罗（Thoreau）坐牢的时候，他说他“从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……。”梭罗当然不会小说中穿墙透壁的功夫，他这种来去自如，是指观念上的解脱，观念上“从不曾想到我是给关起来了”。他虽然身在斗室之内，但却心在六合之外，神游四海、志驰八方，就像拉夫瑞斯（Richard lovelace）在牢里写诗给情人所描写的一样。,002.第一部——三十年前.txt,73,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"牢狱,梭罗,观念,人格",LAT032-006
LAT032-007,上山·上山·爱,校对轮,已校对,人格,厌倦人际仍要表现自己,像隐士一样，我喜欢在山上，讨厌山下的红尘。除非有特别的事，我是很少下山的。朋友们知道我这种隐士的性格，他们也不轻易找我。我虽是一个战斗的人，但我对人际很厌倦，我认为现代技术的统治，已使人愈来愈软弱，使个人抵抗政府与环境的能力愈来愈小，所以个人就变得不可靠也不可爱。“我认识人愈多，我愈喜欢狗。”这句巴斯噶（Blaise Pascal）的名言，是我最欣赏的。戴高乐（Charles de Gaulle）也欣赏这句话，大概强者在历经万劫以后，都会如此洞彻人际。但这并非说自己要形如槁木、心如死灰，而是仍旧努力、不灰心、不停止；仍旧要说自己的、写自己的、表现自己的。,002.第一部——三十年前.txt,76,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"隐士,战斗,个人,人格",LAT032-007
LAT032-008,上山·上山·爱,校对轮,已校对,人格,山居孤独养浩然之气,在山上，我孤独而有效率的生活着。戴高乐在做第五共和总统前，他住在巴黎郊外最后的一幢房子里，保持自我，远离群众的吵闹，但他并非遁世，而是在培养浩然之气——大丈夫的浩然之气、“得志与民由之，不得志独行其道”的浩然之气。戴高乐是我最欣赏的法国人，他给我平地上突起一座山的感觉。而阳明山，正是这样一座山。,002.第一部——三十年前.txt,77,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"孤独,戴高乐,浩然之气,人格",LAT032-008
LAT032-009,上山·上山·爱,校对轮,已校对,人格,不要用坐牢考验亲友,王阳明和我不同的是，他是先坐了牢，再跟朋友分离的，而我却先跟朋友分离，才准备坐牢的，因为蓝色统治下的白色恐怖里，一个人的坐牢，使他亲人和朋友软弱的可能，远比坚强多。别说什么“真金不怕火炼”了，不炼倒也更好。一般人太脆弱了，是纯金是包金是镀金，若一一全靠火炼来考验真假和纯度，是太残忍、太强人所难的事。最好的发展，还是不炼他们。没有火炼，漂亮的人一定更多，漂亮的事也会不少。也许有人会提出异议，说不炼他们，那么漂亮的人中，岂不羼了假？答案是：羼了假也没什么关系。很多人没遭到火炼，他们会漂亮下去，就算是镀金的还是很漂亮啊！虽然只是金玉其外，但在这金粉世界里，冒充久了，也就弄假成真。很多漂亮的事，都是弄假成真的。如果不避免火炼，硬要炼他们，他们就会原形毕现，一点残余的金色都没有了。这就是说，他们变成赤裸的市井小人了。这时候，自己会被逼得除了痛苦的割断戈登结（Cordian Knot）外，别无他法。对入狱的人说来，入狱的确给亲人、朋友一次火炼，这是很“不道德”的事。因此，我要特别在这方面准备，准备得愈使他们跟我不相干，愈好。亲人、朋友的关系，是一幅已完成的绘画，不要想再变动它；愈变动，愈失掉本来的和谐、均衡与基调。,002.第一部——三十年前.txt,80,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"坐牢,亲友,火炼,人格",LAT032-009
LAT032-010,上山·上山·爱,校对轮,已校对,人格,乱世道德要接受裂缝,在太平盛世里长大的人，不会了解这种看法的实际意义。这种人没有饱更忧患，他们的道德观念是完整的，没有裂缝的像一个鸡蛋。但是乱世是什么世界呢？乱世是到处是石头的世界，鸡蛋在石头里滚动，结果必然是安有完卵。这种人一旦破灭，反倒无法适应这个世界。只有像我这种先把世道人心打折扣接受的人，才会在“百尺竿头站脚，千层浪里翻身”。所以，既然在蓝色统治下的白色恐怖里，坐牢的阴影愈来愈逼近了，我决定跟朋友愈来愈疏远了。我反锁房门，孤独的整理文件与稿件，不想见任何人了。有几个朋友来找过我，我在门眼里看到是谁，可是我没开门。朋友们知道我的怪癖，他们知道我知道谁来了，只是不开门而已，他们一点也不见怪。晋朝王羲之的儿子王徽之在大雪初停的月色里，忽然想起朋友戴逵，当晚坐了小船便去找这朋友，走了一晚，到了戴逵家门口，就转身回去，人家问他为什么，他说：“我本乘兴而来，兴尽而返，何必见戴？”这种潇洒，一千五百年后，被新时代的戴逵反过来强加在朋友身上了，我使他们想见也见不到我了。,002.第一部——三十年前.txt,81,《大李敖全集6.0》分章节/004.小说剧本类/002.上山·上山·爱/002.第一部——三十年前.txt,"乱世,道德,孤独,人格",LAT032-010
