id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT042-001,挑战李敖——敖语录,校对轮,已校对,情爱,男女判断次序,对男人我先听他讲什么话才看他长什么样，马英九例外；对女人我先看她长什么样才听她讲什么话，陈文茜例外。,001.1999年10月.txt,11,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"男女,判断,情爱"
LAT042-002,挑战李敖——敖语录,校对轮,已校对,政治,清流投浊,五代时候，李振主张把所谓“清流”人士丢到河里，变成“浊流”；一千年过去了，李敖主张把台湾所谓的“清流”也给丢到河里。不过“林浊水”免了，他已经不能再浊了。,001.1999年10月.txt,13,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"清流,政治,台湾"
LAT042-003,挑战李敖——敖语录,校对轮,已校对,情爱,长寿与婚姻,长寿的秘诀是慎重选择父母；结婚的秘诀是慎重选择前妻。,001.1999年10月.txt,15,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"长寿,婚姻,情爱"
LAT042-004,挑战李敖——敖语录,校对轮,已校对,情爱,男女冲突和解,我跟男人冲突，要靠形而上和解；我跟女人冲突，要靠形而下和解。生理构造愈不同，愈影响和解速度。所以，我总是最先原谅女人。,001.1999年10月.txt,17,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"男女,冲突,情爱"
LAT042-005,挑战李敖——敖语录,校对轮,已校对,政治,政治提拔,好的政治动作是向上提拔，坏的政治动作是向下打压。国民党把坏的提拔，把好的打压，正证明了它是天下第一烂党。,001.1999年10月.txt,19,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"提拔,打压,政治"
LAT042-006,挑战李敖——敖语录,校对轮,已校对,人格,真话缺点,每人都有缺点，我的缺点是爱说真话；每人都有优点，我的优点是愈来愈欣赏我的缺点。,001.1999年10月.txt,21,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"真话,缺点,人格"
LAT042-007,挑战李敖——敖语录,校对轮,已校对,政治,政府沟通,鸡同鸭讲有四种：一、鸡同鸭讲；二、鸭同鸡讲；三、人民同国民党政府讲；四、国民党政府同人民讲。,001.1999年10月.txt,29,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"政府,人民,政治"
LAT042-008,挑战李敖——敖语录,校对轮,已校对,情爱,感官情迷,男人用眼睛，女人从他视觉使他神魂颠倒；女人用耳朵，男人从她听觉使她意乱情迷。,001.1999年10月.txt,31,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"男女,感官,情爱"
LAT042-009,挑战李敖——敖语录,校对轮,已校对,政治,政客忏悔,有时候会出现这样的奇迹：政治家是死前忏悔的政客，政客是死不悔改的政治家。,001.1999年10月.txt,33,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"政治家,政客,政治"
LAT042-010,挑战李敖——敖语录,校对轮,已校对,写作,鬼话文体,情书、传单和道歉信，三者的最大不同是：情书是说她不相信的鬼话，传单是说你不相信的鬼话，道歉信是说她和你都不相信的鬼话。,001.1999年10月.txt,35,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"情书,传单,道歉信"
LAT042-011,挑战李敖——敖语录,校对轮,已校对,政治,假民主,假民主有三种：一、顺民做主；二、愚民做主；三、暴民做主。台湾三者俱全，另外杠上开花，还来了一个“假民主先生”李登辉，妙极了！,001.1999年10月.txt,37,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/001.1999年10月.txt,"假民主,台湾,政治"
LAT042-012,挑战李敖——敖语录,校对轮,已校对,方法,正视问题,正视问题不一定能解决它，不正视问题一定不能解决它。,002.1999年11月.txt,5,《大李敖全集6.0》分章节/005.诗集语录类/006.挑战李敖——敖语录/002.1999年11月.txt,"问题,解决,方法"
