id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT106-001,LAT106-002,郑南榕研究,校对轮,已校对,法权,郑南榕的核心功绩是争取言论自由,在我和南榕携手“搞起杂志”的时候，我们争取的，是言论自由。这在南榕亲笔的创刊号，第一篇《言论自由第一优先》文中，已经宣示得十分明白。南榕虽然指出“在这个蔑视自由的小岛上，自由、百分之百的自由，从来没有过。李敖先生个人力争自由的成绩是第一名”，但在我看来，他在这方面的努力，却后来居上。我认为，南榕一生最大的功绩，是他在争取百分之百的言论自由上。至于后来从事争取组党的自由（他是台湾第一个以行动突破党禁的人，远在投机的民进党不敢组党前，他就加入了许信良的台湾民主党）、从事争取集会的自由、从事争取台独的自由……只不过都是在争取言论自由的大前提下衍生出来的。别有怀抱的人把南榕的功绩，定位在争取百分之百的言论自由之外，这是对南榕的一种政治性、宗教性的窄化与小化，是与史实不合的。基于我和南榕二十多年的从相识到共事，我想我最有资格说这种话。,《郑南榕研究》自序.txt,5,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\《郑南榕研究》自序.txt,郑南榕;言论自由;功绩
LAT106-002,LAT106-003,郑南榕研究,校对轮,已校对,人格,为真实理念牺牲高于政治宗教解释,美国思想家孟肯（H. L. Mencken）说得好：“为理念去死，无疑是高贵的。但为真实的理念去死，那就更高贵了！”（To die for an idea：it is unquestionably noble. But how much nobler would it be if men died for ideas that were true.）我始终相信，南榕在为一种“真实的理念”而死，这种理念，既非政治的，也非宗教的，所以任何政治目的或宗教目的的解释，都窄化、小化了他。南榕其实为了更高贵的信仰而死，那种信仰，从政客到教棍是不理解的。我知南榕、我思南榕，特高其明而光其大，以责众生、以昭来者。是为序。,《郑南榕研究》自序.txt,6,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\《郑南榕研究》自序.txt,真实理念;牺牲;信仰
LAT106-003,LAT106-004,郑南榕研究,校对轮,已校对,知识,知识范围狭窄会限制政治判断,□党外新生代可爱的地方并不多，不可爱的地方真不少。最大的不可爱是他们很狭窄，知识范围很狭窄，观点也很狭窄。他们普遍的特色是不太努力，尤其是在知识探讨方面。,001.党外·党内·性.txt,5,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,知识范围;狭窄;政治判断
LAT106-004,LAT106-005,郑南榕研究,校对轮,已校对,人格,政治青年不应现实小气,他们狭窄的部分，在政治上与人相处方面，非常现实、小气而生硬。我觉得年轻人应该热情、爽朗，可是现在很多新生代变得冰冷而现实。他们也很糊涂，我举个例子说明。譬如说，这次党外新生代，为了宋英讲了一段话，就捧宋英。宋英二十四年不讲话，对党外什么贡献都没有，只讲一次话他们就开始捧她。但他们却不捧这些整天整月、整年多年为党外讲话的战士，他们的是非标准可真怪。这些都是党外新生代不可爱的地方。因为不可爱的地方这么多，所以可爱的地方就相对减少了。,001.党外·党内·性.txt,6,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,青年;现实;是非标准
LAT106-005,LAT106-006,郑南榕研究,校对轮,已校对,人格,优异必须是全面表现而非单点表现,当然新生代里头也许有特别优异的人，可是我还没看到。这不是说他们个人在某一方面不优异，而是说，我以比较严格的、全面性的标准来要求，才会有这种结论。我希望他们每一方面、各方面都优异，优异表现应该是面的表现，而不是点的表现、线的表现。,001.党外·党内·性.txt,7,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,优异;全面;标准
LAT106-006,LAT106-007,郑南榕研究,校对轮,已校对,文化,社会环境塑造青年,□这有两个原因。第一、社会教育太重要、社会环境太重要。一个青年人很难教他每一方面都抵抗整个社会环境。,001.党外·党内·性.txt,10,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,社会教育;环境;青年
LAT106-007,LAT106-009,郑南榕研究,校对轮,已校对,方法,抵制必须先由行动者以身作则,我们可以大家不要办党外杂志，整天去公开宣传禁烟、禁酒，使国民党一点办法也没有。这是修理国民党更有效的办法，可是这需要以身作则，自己不抽烟、不喝酒，能做到这些吗？可是，我听说有些党外杂志平常开两桌麻将。以上我所说的，不是特指哪一个杂志社，也不是专骂哪一个，而是指出一个模式。,001.党外·党内·性.txt,12,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,抵制;实践;合法方法
LAT106-008,LAT106-010,郑南榕研究,校对轮,已校对,政治,草率组党会给党外巨头独裁机会,□这个要看从哪个角度来看。组党对党外人士而言，会给目前党外巨头一个独裁的机会。说难听一点，变成是名分上的分赃制度，这对党外人士不好，因为一开始就“示天下以不广”。这些人对他们个人利害考虑过多，而目前我们看到的这些党外巨头，好像是没资格去组党的，我有这种感觉。,001.党外·党内·性.txt,15,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,组党;独裁;分赃
LAT106-009,LAT106-012,郑南榕研究,校对轮,已校对,文化,岛屿处境容易强化狭窄地域意识,□我认为人本身都会有他的地区意识，这是很正常的现象，可是台湾是一个岛，岛本身更容易造成狭窄的意识。台湾这个岛从日本到国民党，做了两次的小媳妇，做了“亚细亚孤儿”，所以它这个意识尤其强，强的结果，就反应过敏、过度了，不过我觉得这种情况只要用环境改变，慢慢会好转。,001.党外·党内·性.txt,20,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,岛屿;地域意识;环境
LAT106-010,LAT106-013,郑南榕研究,校对轮,已校对,方法,比较岛屿意识必须考察大陆关系,□他们的情况不一样。像古希腊、地中海、爱琴海的海岛，和英国、英法海峡，它们跟欧洲大陆的关系与台湾不一样。比如说，原来英国与欧洲大陆之间的战争，来来去去，是纠缠不清的。乔治第一甚至由德国到英国去做皇帝。台湾的情况不一样，台湾一开始是荒岛，它本身是边陲，岛对大陆人是边缘，但是希腊岛英伦三岛对欧洲本土不是边缘。,001.党外·党内·性.txt,22,《大李敖全集6.0》分章节\012.人物研究类\008.郑南榕研究\001.党外·党内·性.txt,地域意识;比较;大陆关系
