id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT142-001,李敖刀笔集,提取轮,待校对,法权,法律文书应让法网恢复效力,中国近代有所谓“刀笔精华”一类书出版，教人打官司，迹其所为，盖“刀笔吏”之流亚，不足登堂入法。但今日法网灰灰而不恢恢，亦令人忧虑。有识之士如李敖者深感“刀笔精华”虽不可取，但“新刀笔精华”却不可无，这本《李敖刀笔集》就是这样一个范本。从这本书中，你不但可以看到李敖恢复了恢恢的法网，并且张开天网，也让它恢恢起来。——正义之士的快意就在这里。斯文在兹，斯法在焉。,《李敖刀笔集》小引.txt,2,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\《李敖刀笔集》小引.txt,法律文书;法网;正义
LAT142-002,李敖刀笔集,提取轮,待校对,方法,具体线索可以证明影射对象,二、自诉人年来于中西文化论争中，因认非“全盘西化”不足以救中国，是故提倡西化极力，每见于文字之中。徐复观所指“小疯狗”三字，显系指自诉人而言，而自诉人曾于《文星》八十二期撰写《〈教育与脸谱〉序幕》一文，中间即指出“沈刚伯拒绝朱光潜到台大任教一节”（证据三），从而徐复观所称：“被人豢养之小疯狗”“利用一个特殊学生”“李×”均系指自诉人，并无其他任何人可以适用。,001.告徐复观的状子.txt,10,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\001.告徐复观的状子.txt,具体线索;影射;对象
LAT142-003,李敖刀笔集,提取轮,待校对,写作,独立写作不能被诬为受人利用,三、自诉人撰文著书，均系本自一己独立之见解，徐复观谓自诉人系“受人豢养”“被人利用”“被传授只咬无权无势的人的心法”“意思要请洋人来开刀，以便在精神上完全切断民族团结的纽带，完成他们‘是汉奸的奴才’的目的”，均足以毁损自诉人之人格，并已构成《刑法》第310条诽谤罪之构成要件。,001.告徐复观的状子.txt,11,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\001.告徐复观的状子.txt,独立写作;受人利用;人格
LAT142-004,李敖刀笔集,提取轮,待校对,法权,答辩书散播无关侮辱会超出自卫范围,在这段文字中，徐复观、洪炎秋两人不仅书信往来、口头诽谤李敖是“威胁”、请人“关说”、“无聊”、“迹近胡闹”，而且徐复观竟公然把这些话记载在答辩书，以达到公然散播的目的，显然已经超出自卫的范围。最妙的是，徐复观还因此就引用了洪炎秋的私人谈话，说：“上述2月27日洪先生给李敖之信，是李敖以不法之威胁手段所取得。”这以“不法之威胁手段所取得”来形容李敖，难道还不构成侮辱或诽谤吗？,002.告洪徐一状.txt,9,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\002.告洪徐一状.txt,答辩书;侮辱;自卫范围
LAT142-005,李敖刀笔集,提取轮,待校对,法权,指控不法胁迫必须有法律事实基础,在《刑法》上，“不法之威胁手段”，就是强暴胁迫。《刑法》分则中妨害公务罪，有强暴胁迫；妨害投票罪，有强暴胁迫；妨害秩序罪、脱逃罪，有强暴胁迫；妨害风化罪、妨害农工商罪，有强暴胁迫；抢夺、强盗罪，有强暴胁迫……李敖的行为哪一点够得上“强暴胁迫”？哪一点称得上“不法手段”？这不是存心在毁损自诉人的人格吗？徐复观、洪炎秋这种既有相互意思联络，又存心共同侮辱的罪行，依《刑法》第28条第309条的规定，已经构成了妨害名誉罪的共同正犯。为此状请钧院鉴核，迅传徐复观、洪炎秋到庭，处以应得的罪。,002.告洪徐一状.txt,10,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\002.告洪徐一状.txt,不法胁迫;事实基础;名誉
LAT142-006,李敖刀笔集,提取轮,待校对,方法,割裂证据违反经验法则,等话，却轻轻放过，一字不提，这是多么明显的“故出人罪”的手法呵！这种任意取舍、割裂文字的手法，很明显的，完全违背了判断证据所必要的“经验法则”，而是原审推事孙嘉禄先生“个人主观上”的只见复数而不见单数的主观！（请参看三十一年上字第1312号判例）,003.所谓“小疯狗”与法律.txt,16,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\003.所谓“小疯狗”与法律.txt,割裂证据;经验法则;自由心证
LAT142-007,李敖刀笔集,提取轮,待校对,方法,采信指涉对象后不能又说对象无法推知,这段话，已明明指出，被告徐复观在原审中已直承不讳他所诽谤的文字中，“一两条小疯狗”系对我而发！原审判决既采信了这一事实，则诽谤的对象业已确定，怎么又能说“其不特定之多数读者，亦无从推知”诽谤文字不是指我呢？由此可生这样的疑问：,003.所谓“小疯狗”与法律.txt,19,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\003.所谓“小疯狗”与法律.txt,指涉对象;判决矛盾;推知
LAT142-008,李敖刀笔集,提取轮,待校对,方法,对多数读者的认定也需要调查证据,二、原审法院究竟根据什么证据，来足以认定“其不特定之多数读者”“无从推知”诽谤文字不是指的是我？“多数读者”既是“不特定”的，那么原审审判推事孙嘉禄先生究竟根据什么调查和证据来说这样一口咬定的空言？究竟用了什么查证手续？什么人证物证？什么社会学、统计学上的理论来写下“事证至明”这样异常确定的四个字？,003.所谓“小疯狗”与法律.txt,21,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\003.所谓“小疯狗”与法律.txt,多数读者;调查;证据
LAT142-009,李敖刀笔集,提取轮,待校对,方法,后续传播结果可以证明影射对象可识别,上面这些证据，都是因被告徐复观连续诽谤文字所引起的显然恶劣的结果，如“疯狗”、如“汉奸的奴才”、如“李敖系以诽谤为专业”等等，都足以使“不特定之多数读者”“推知”（甚至一望而知）是指我本人，这都是非常明确的证据。,003.所谓“小疯狗”与法律.txt,29,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\003.所谓“小疯狗”与法律.txt,传播结果;影射对象;识别
LAT142-010,李敖刀笔集,提取轮,待校对,法权,法院不能隐藏足以确定指涉对象的证据,在这些明确的证据之下，原审审判推事孙嘉禄先生居然说被告徐复观诽谤的对象还没有“特定”！居然硬说“不特定之多数读者”还无法“推知”！从而隐藏足以构成“特定”之诽谤文字“这条小疯狗”于前，又略而不提严重的诽谤文字“汉奸的奴才”于后，人间法院故意开脱被告罪责，还有比这种作风更明显的吗？,003.所谓“小疯狗”与法律.txt,30,《大李敖全集6.0》分章节\015.雷霆法律类\002.李敖刀笔集\003.所谓“小疯狗”与法律.txt,法院;指涉对象;证据
