id,source_id,book,round,status,category,title,description,source_file,source_paragraph,source_path,keywords
LAT068-001,LAT068-001,给马戈的五十封信,校对轮,已校对,方法,无闻之美是洒脱态度,我给你写了八页的长信，正引火待发，忽接来信谓不必作告诉你结果了，我想这个主意我真是百分之百的赞成。你既如是想得开，我这八页奉劝信和报导信可以毁了。我高兴你有这种不问收获的“无闻之美”。你该相信只有这种态度才是最洒脱、最彻底的态度。从一个朋友如我的地位着眼，我劝你早早摆脱这件事。不可为的事不可悬念它，不再过问它最好。我清楚的看到真喜则扰你，悲则哀你，其无好处也则一，还不如干脆使它成为闷葫芦——一个永远不明朗的结果。不是更美吗？几十年后，我老了，我再作诉你吧，唯美主义的老马！,001.无闻之美.txt,3,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/001.无闻之美.txt,"方法,无闻之美是洒脱态度,无闻之美"
LAT068-002,LAT068-002,给马戈的五十封信,校对轮,已校对,写作,书信要留作共同史料,你我的通信我提议互相保存，这是我们共同的史料，想必蒙同意也。你的信年月日要写清楚——要像个学历史的。,005.年月日要写清楚.txt,3,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/005.年月日要写清楚.txt,"写作,书信要留作共同史料,年月日要写清楚"
LAT068-003,LAT068-003,给马戈的五十封信,校对轮,已校对,知识,考试制度难测真才,对考试，多年反对作弊的我今日开始赞成了，我实在感到考试制度之不能测出真才，在这种情形下只有用作弊以“还敬”之，尊意如何，很想听听阁下的意见。此为今日一大想法，不可不记。,006.活页日记.txt,7,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/006.活页日记.txt,"知识,考试制度难测真才,活页日记"
LAT068-004,LAT068-004,给马戈的五十封信,校对轮,已校对,写作,书信是第一手活页日记,我现在日记几乎和叶公超一样地不记了，我把每日的想法与生活差不多都写在信上了，所以我请你保存，因为这些信恐怕就是他日我（们）最好的史料——第一手的，最原始的，也是最好的“活页日记”。这样我也可以多写些信给你，故人的片纸只字，对你也许能解些颐吧？,006.活页日记.txt,8,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/006.活页日记.txt,"写作,书信是第一手活页日记,活页日记"
LAT068-005,LAT068-005,给马戈的五十封信,校对轮,已校对,写作,写作须经修改用力,不过随手写来，文笔实在欠佳，不仔细修改的东西实在羞得见人，好在是老朋友，必不怪也，今夜独自坐在福利社中，吃冰淇淋一客，写一信（怪信）给××× ，修了又改，改了又修，尚称满意。写东西实在要用力气，草率操觚的确不成样子。,006.活页日记.txt,9,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/006.活页日记.txt,"写作,写作须经修改用力,活页日记"
LAT068-006,LAT068-006,给马戈的五十封信,校对轮,已校对,人格,不被识货便横眉沉默,昨晚孙英善跳舞归来言×××在舞场之事，甚堪笑也。吾近来对不能识货之女人一概不理，懒得再去与之周旋。横眉、 冷笑与沉默为吾三大法宝。“知音苟不存，已失何所悲？”我的高兴一如往昔，这种“何所悲”的态度你以为如何？,006.活页日记.txt,29,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/006.活页日记.txt,"人格,不被识货便横眉沉默,活页日记"
LAT068-007,LAT068-007,给马戈的五十封信,校对轮,已校对,人格,坚强比重感情更重要,刚接来书即出发为你购照片，字典月底钱来了即去买。小画家事正找人打听，令妹是否知道？你可否问问她？你时间不多，少写信吾决不怪汝也，决不可勉强多写，切切，今晚当写一长信给你。你的重感情很好，不过我现在颇提倡狠心肠，只觉得坚强比什么都重要。,008.提倡狠心肠.txt,3,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/008.提倡狠心肠.txt,"人格,坚强比重感情更重要,提倡狠心肠"
LAT068-008,LAT068-009,给马戈的五十封信,校对轮,已校对,情爱,尊严胜过恋爱屈身,“吾与其恋爱而诎于人，宁光杆而轻世肆志焉！”因“爱情的成功”而失掉（即使是暂时的、视做手段地失掉）自己，我们实在是“不忍为的”！,009.爱情牢骚.txt,9,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/009.爱情牢骚.txt,"情爱,尊严胜过恋爱屈身,爱情牢骚"
LAT068-009,LAT068-010,给马戈的五十封信,校对轮,已校对,情爱,浪漫要过得痛快,总之，我李敖要大浪漫特浪漫就是了！也就是如你所希望的， 要“过得痛快”！,009.爱情牢骚.txt,18,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/009.爱情牢骚.txt,"情爱,浪漫要过得痛快,爱情牢骚"
LAT068-010,LAT068-011,给马戈的五十封信,校对轮,已校对,人格,不为毁谤失掉风度,就这个事的本身言，的确是卑不足道的小事一件，只要我反诸己心而安，自反不缩，我是大可以不必介意的，因为我深深的知道象我这种“惹祸‘男’郎”（非BB之“惹祸女郎”），将来得罪人群之处势不在少，也可能有人大写《李敖与国运》正续集毁谤（真正的毁谤）我，蒙受小人的冷箭和无中生有的诬蔑与栽赃是太有可能的了，难道我会为他们而懊恼不成？辩白不成？我才不会那样傻呢？阿Q说得好：“就算被儿子打了！”其实这种态度也蛮有道理，何错之有？设想大博士若真上了法院告徐老头子毁谤他，这成何风度！同样的，李敖先生若又像对×××那样“骂街”也太“悻悻然小丈夫”了，对骂×××我今日思之，颇觉有失风度，为了出几口气而失掉风度，未免不划算。,012.十字街头筑隐居.txt,5,《大李敖全集6.0》分章节/008.书信函件类/011.给马戈的五十封信/012.十字街头筑隐居.txt,"人格,不为毁谤失掉风度,十字街头筑隐居"
